"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-WT.N3A",121.124999999913,-410767.268152251,411009.518152251,1
"TP-WT.N3A",839.249999999953,-410049.143152251,411727.643152251,1
"WT-WT.N3A",6696.12499999997,-404192.268152251,417584.518152251,0.999999999944134
"N3A-WT.N3A",7702.12500000003,-403186.268152251,418590.518152251,0.999999999851233
"WT.T8A-WT.N3A",32937.875,-377950.518152251,443826.268152251,0.999996295111526
"T8A-WT.N3A",60384.1250000001,-350504.268152251,471272.518152251,0.999771677597879
"TN-WT.N3A",1180767.375,769878.981847749,1591655.76815225,4.94384533311631e-11
"TP-T8A.N3A",718.12500000004,-410170.268152251,411606.518152251,1
"WT-T8A.N3A",6575.00000000006,-404313.393152251,417463.393152251,0.999999999950842
"N3A-T8A.N3A",7581.00000000012,-403307.393152251,418469.393152251,0.999999999866845
"WT.T8A-T8A.N3A",32816.7500000001,-378071.643152251,443705.143152251,0.999996388059546
"T8A-T8A.N3A",60263.0000000001,-350625.393152251,471151.393152251,0.999774709245095
"TN-T8A.N3A",1180646.25,769757.856847749,1591534.64315225,4.95834484581792e-11
"WT-TP",5856.87500000002,-405031.518152251,416745.268152251,0.999999999978146
"N3A-TP",6862.87500000008,-404025.518152251,417751.268152251,0.999999999933644
"WT.T8A-TP",32098.625,-378789.768152251,442987.018152251,0.999996899401964
"T8A-TP",59544.8750000001,-351343.518152251,470433.268152251,0.99979200156385
"TN-TP",1179928.125,769039.731847749,1590816.51815225,5.04554176217198e-11
"N3A-WT",1006.00000000006,-409882.393152251,411894.393152251,1
"WT.T8A-WT",26241.75,-384646.643152251,437130.143152251,0.999999230692809
"T8A-WT",53688.0000000001,-357200.393152251,464576.393152251,0.999896032843991
"TN-WT",1174071.25,763182.856847749,1584959.64315225,5.82764947409942e-11
"WT.T8A-N3A",25235.75,-385652.643152251,436124.143152251,0.99999941339931
"T8A-N3A",52682,-358206.393152251,463570.393152251,0.999908464021296
"TN-N3A",1173065.25,762176.856847749,1583953.64315225,5.97573102112392e-11
"T8A-WT.T8A",27446.2500000001,-383442.143152251,438334.643152251,0.999998950011223
"TN-WT.T8A",1147829.5,736941.106847749,1558717.89315225,1.1506662289662e-10
"TN-T8A",1120383.25,709494.856847749,1531271.64315225,2.43953190981472e-10
