Challenge,WT,T8A,N3A,WT+T8A,WT+N3A,T8A+N3A,TP,TN
Primary,17100,2840,11300,0,8420,0,2840,11357500
Primary,43200,0,0,19200,62300,0,6230,15869070
Primary,20700,0,2930,0,5970,0,11900,12158500
Memory,10400,0,16700,1270,7690,0,7690,3296250
Memory,31900,0,6290,0,6290,0,0,8565520
Memory,9160,0,73300,0,36600,0,0,16480940
WT challenge,67900,0,16700,24200,352000,0,90200,8749000
WT challenge,144000,0,34200,23900,570000,0,274000,10353900
WT challenge,85400,1130,11300,274000,10600,1130,21900,6654540
T8A challenge,4960,49600,5220,22600,956,0,328,8616336
T8A challenge,29700,73000,42200,10000,9020,4110,1040,11230930
T8A challenge,69700,38400,17100,16400,22800,361,6120,6949119
T8A challenge,18600,8280,14500,158000,4140,0,2170,10194310
N3A challenge,82200,28800,105000,69900,1480000,0,0,18734100
N3A challenge,15600,4690,384000,2340,7030,0,0,7396340
N3A challenge,41600,4990,122000,20200,219000,10300,15200,27266710
