Challenge,WT,T8A,WT+T8A,N3A,WT+N3A,T8A+N3A,TP,TN
Primary,25700,13200,8810,0,14100,980,3550,1353660
Memory,0,0,0,0,0,0,0,8710
WT,1700000,20000,3390000,5190,0,0,0,6684810
T8A,10500,879000,475000,2150,2150,1050,40600,4739550
N3A,174000,0,12800,0,529000,6570,1210000,6597630
Primary,23300,8920,12600,450,2560,745,1320,726105
Memory,29100,0,6530,0,0,0,0,2474370
WT,1250000,107000,628000,0,46100,0,53200,8115700
T8A,10800,26600,136000,1210,4760,0,41200,2949430
N3A,0,0,0,0,1310,0,0,34190
Primary,60100,45000,23400,917,26800,1240,2720,1539823
Memory,49100,0,16400,0,4030,0,0,1610470
WT,1270000,2070,442000,2070,0,0,2070,5171790
T8A,242000,257000,932000,8310,9740,4160,242000,10204790
N3A,152000,0,104000,13200,155000,0,115000,5190800
Primary,9800,4800,1490,302,1280,199,786,395343
Memory,13300,0,37200,0,0,0,0,741500
WT,9250,823,61200,0,1220,0,823,318684
T8A,27000,314000,70100,5930,2370,0,1190,10379410
Primary,97400,18300,22800,0,16400,0,11900,1983200
Memory,42800,14300,7140,0,0,0,0,2095760
T8A,22800,248000,277000,3610,3610,2360,288000,7014620
T8A,27300,464000,224000,0,12500,0,15600,7046600
